length_sku_key,current_bucket,od_mm,thickness_mm,length_mm,length_m,grade,cut_type,material_codes,plants,codes_not_in_bucketting,plan_note,on_megh_tab,schedule_mt,stock_mt,what_is_needed,assign_length_bucket,assign_bucket,assign_material_code,remark
48-0-1.2-5.55-ERW 1-FC,lookup error,48,1.2,5550.0,5.55,ERW 1,Fin cut,4180803,0789,,,Yes,20.0,0.0,assign bucket,,,,
lookup error,lookup error,48.6,1.6,572.5,0.5725,lookup error,lookup error,lookup error,,,"plan row has no bucket key, grade, cut type",No,20.0,0.0,"state bucket key, grade, cut type, then assign bucket",,,,
34.93-0-1.2-0.65-ERW 1-NFC,lookup error,34.93,1.2,650.0,0.65,ERW 1,lookup error,lookup error,,,,Yes,19.0,0.0,assign bucket; name a material code,,,,
28.58-0-3.2-6.06-ERW 1-FC,lookup error,28.58,3.2,6060.0,6.06,ERW 1,Fin cut,"1931046, 1940627","0788, 0789",1931046,,Yes,18.0,15.56,assign bucket; add code to Bucketting,,,,
48-0-1.2-5.67-ERW 1-FC,lookup error,48,1.2,5670.0,5.67,ERW 1,Fin cut,3460088,0789,,,Yes,18.0,0.0,assign bucket,,,,
48.6-0-2.3-6.27-ERW 2-FC,lookup error,48.6,2.3,6270.0,6.27,ERW 2,Fin cut,3549720,056,,,Yes,13.0,13.535,assign bucket,,,,
lookup error,lookup error,48.6,2,6270.0,6.27,lookup error,lookup error,lookup error,,,"plan row has no bucket key, grade, cut type",No,12.0,0.0,"state bucket key, grade, cut type, then assign bucket",,,,
19.05-0-1.4-6-ERW 2-NFC,lookup error,19.05,1.4,6000.0,6.0,ERW 2,Non fin cut,"1931848, 3891285","056, 0789",3891285,,Yes,11.0,6.786,assign bucket; add code to Bucketting,,,,
31.75-0-1.2-5.1-ERW 1-FC,31.75-0-1.2-ERW 1-FC,31.75,1.2,5100.0,5.1,ERW 1,Fin cut,lookup error,,,,Yes,10.0,0.0,name a material code,,,,
31.75-0-2-6-ERW 1-FC,lookup error,31.75,2,6000.0,6.0,ERW 1,Fin cut,1931387,0789,1931387,,Yes,10.0,0.0,assign bucket; add code to Bucketting,,,,
34.93-0-1.2-0.78-ERW 1-NFC,lookup error,34.93,1.2,780.0,0.78,ERW 1,lookup error,lookup error,,,,Yes,10.0,0.0,assign bucket; name a material code,,,,
47.63-0-4-6-CEW-FC,lookup error,47.63,4,6000.0,6.0,CEW,Fin cut,3500635,0788,3500635,,Yes,10.0,6.172,assign bucket; add code to Bucketting,,,,
lookup error,lookup error,22.23,1.2,5300.0,5.3,lookup error,lookup error,lookup error,,,"plan row has no bucket key, grade, cut type",No,9.5,3.765,"state bucket key, grade, cut type, then assign bucket",,,,
28.6-0-2.6-4.5-CEW-NFC,28.6-0-2.65-CEW-CEW,28.58,2.6,4500.0,4.5,CEW,Fin cut,lookup error,,,,Yes,8.0,0.0,name a material code,,,,
22.23-0-1.4-6-ERW 2-NFC,lookup error,22.23,1.4,6000.0,6.0,ERW 2,Non fin cut,3829175,056,,,Yes,6.0,0.0,assign bucket,,,,
45-0-1.4-5.7-ERW 1-FC,lookup error,45,1.4,5700.0,5.7,ERW 1,Fin cut,lookup error,,,,Yes,5.0,8.743,assign bucket; name a material code,,,,
50.8-0-2.6-6-ERW 1-FC,lookup error,50.8,2.6,6000.0,6.0,ERW 1,Fin cut,4155237,056,4155237,,Yes,5.0,14.427,assign bucket; add code to Bucketting,,,,
12.7-0-2-6-ERW 1-NFC,lookup error,12.7,2,6000.0,6.0,ERW 1,Non fin cut,lookup error,,,,Yes,2.0,0.0,assign bucket; name a material code,,,,
12.7-0-1.4-5.67-ERW 1-NFC,lookup error,12.7,1.4,5670.0,5.67,ERW 1,Non fin cut,3552188,0789,,,Yes,1.5,0.869,assign bucket,,,,
15.88-0-1.4-6-ERW 1-NFC,lookup error,15.88,1.4,6000.0,6.0,ERW 1,Non fin cut,lookup error,,,,Yes,0.0,7.367,assign bucket; name a material code,,,,
19.05-0-2.3-6.32-ERW 1-NFC,19.05-0-2.3-ERW 1-PE,19.05,2.3,6320.0,6.32,ERW 1,Non fin cut,lookup error,,,,Yes,0.0,17.233,name a material code,,,,
25.4-0-1.4-5.531-ERW 2-FC,lookup error,25.4,1.4,5531.0,5.531,ERW 2,Fin cut,3501900,056,,,Yes,0.0,16.733,assign bucket,,,,
25.4-0-2-6-ERW 1-NFC,lookup error,25.4,2,6000.0,6.0,ERW 1,Non fin cut,3500096,056,,,Yes,0.0,24.12,assign bucket,,,,
25.4-0-2.5-3.5-CEW-NFC,25.4-0-2.5-CEW-CEW,25.4,2.6,3500.0,3.5,CEW,Fin cut,lookup error,,,056: NEW MCR,Yes,0.0,3.479,name a material code,,,,
30-0-3-3.5-CEW-FC,lookup error,30,3,3500.0,3.5,CEW,Fin cut,lookup error,,,,Yes,0.0,2.587,assign bucket; name a material code,,,,
31.75-0-2.3-6-ERW 1-FC,31.75-0-2.3-ERW 1-FC,31.75,2.3,6000.0,6.0,nan,lookup error,lookup error,,,,Yes,0.0,20.336,name a material code,,,,
31.9-0-4.55-6-CEW-FC,lookup error,31.9,4.55,6000.0,6.0,CEW,Fin cut,lookup error,,,,Yes,0.0,13.166,assign bucket; name a material code,,,,
38.1-0-1.6-5.88-ERW 1-FC,38.1-0-1.6-ERW 1-FC,38.1,1.6,5880.0,5.88,ERW 1,Fin cut,lookup error,,,,Yes,0.0,6.318,name a material code,,,,
38.1-0-3.2-6.16-ERW 2-FC,lookup error,38.1,3.2,6160.0,6.16,ERW 2,Fin cut,4156196,"056, 0788",4156196,,Yes,0.0,22.972,assign bucket; add code to Bucketting,,,,
41.28-0-2.6-6.02-ERW 1-FC,41.28-0-2.6-ERW 1-FC,41.28,2.6,6020.0,6.02,ERW 1,Fin cut,lookup error,,,,Yes,0.0,6.599,name a material code,,,,
45-0-3.5-6.1-CEW-FC,lookup error,45,3.5,6100.0,6.1,CEW,Fin cut,3500263,056,3500263,,Yes,0.0,21.676,assign bucket; add code to Bucketting,,,,
50.8-0-2.6-5.94-ERW 1-FC,lookup error,50.8,2.6,5940.0,5.94,ERW 1,Fin cut,lookup error,,,,Yes,0.0,17.385,assign bucket; name a material code,,,,
57.15-0-2.5-5.75-ERW 1-FC,57.15-0-2.5-ERW 1-FC,57.15,2.5,5750.0,5.75,ERW 1,Fin cut,lookup error,,,,Yes,0.0,26.29,name a material code,,,,
63.5-0-1.6-6.121-ERW 1-FC,lookup error,63.5,1.6,6121.0,6.121,ERW 1,Fin cut,lookup error,,,,Yes,0.0,19.436,assign bucket; name a material code,,,,
lookup error,lookup error,19,3.25,6200.0,6.2,lookup error,lookup error,lookup error,,,"plan row has no bucket key, grade, cut type",No,0.0,1.565,"state bucket key, grade, cut type, then assign bucket",,,,
